"product_id","product_name","product_category","product_subcategory","product_manufacturer","order_details_id","order_id","product_id","quantity","order_discount","order_profits","order_profit_ratio","order_sales","order_id","customer_id","order_date","shipping_city","shipping_state","shipping_region","shipping_country","shipping_postal_code","shipping_date","shipping_mode","customer_id","customer_name","customer_segment"
"122","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","1","CA-2015-100004","122","62","0.1","327","0.39","837","CA-2015-100004","91","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day","91","Bill Shonely","Corporate"
"764","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","Global","2","CA-2015-100004","764","18","0.2","565","0.26","2174","CA-2015-100004","91","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day","91","Bill Shonely","Corporate"
"161","AT&T EL51110 DECT","Technology","Phones","AT&T","3","CA-2015-100006","161","3","0","110","0.29","378","CA-2015-100006","224","2015-09-07 00:00:00","New York City","New York","East","United States","10024","2015-09-13 00:00:00","Standard Class","224","Dennis Kane","Consumer"
"122","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","4","CA-2015-100032","122","53","0.1","272","0.38","715","CA-2015-100032","62","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","62","Arthur Wiediger","Home Office"
"1342","Recycled Premium Regency Composition Covers","Office Supplies","Binders","Other","5","CA-2015-100032","1342","23","0.1","96","0.31","311","CA-2015-100032","62","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","62","Arthur Wiediger","Home Office"
"613","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","Office Supplies","Appliances","Eureka","6","CA-2015-100032","613","16","0.1","407","0.27","1506","CA-2015-100032","62","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","62","Arthur Wiediger","Home Office"
"812","Holmes Odor Grabber","Office Supplies","Appliances","Holmes","7","CA-2015-100051","812","79","0.2","318","0.35","909","CA-2015-100051","311","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-12 00:00:00","Standard Class","311","Greg Matthias","Consumer"
"1648","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","Office Supplies","Binders","Wilson Jones","8","CA-2015-100090","1648","6","0.2","69","0.35","197","CA-2015-100090","246","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class","246","Ed Braxton","Corporate"
"819","Hon 2111 Invitation Series Corner Table","Furniture","Tables","Hon","9","CA-2015-100090","819","3","0.2","-88","-0.18","502","CA-2015-100090","246","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class","246","Ed Braxton","Corporate"
"920","Imation Clip USB flash drive - 8 GB","Technology","Accessories","Imation","10","CA-2015-100136","920","130","0.3","1399","0.41","3413","CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","388","John Lee","Consumer"
"1216","OIC Binder Clips","Office Supplies","Fasteners","Other","11","CA-2015-100136","1216","94","0.1","64","0.21","305","CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","388","John Lee","Consumer"
"122","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","12","CA-2015-100136","122","143","0.1","734","0.38","1931","CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","388","John Lee","Consumer"
"1507","Staples","Office Supplies","Fasteners","Other","13","CA-2015-100136","1507","324","0.2","114","0.22","518","CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","388","John Lee","Consumer"
"1600","Unpadded Memo Slips","Office Supplies","Paper","Other","14","CA-2015-100136","1600","216","0.1","264","0.34","778","CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","388","John Lee","Consumer"
"1677","Xerox 1887","Office Supplies","Paper","Xerox","15","CA-2015-100293","1677","6","0.2","32","0.35","91","CA-2015-100293","564","2015-03-14 00:00:00","Jacksonville","Florida","South","United States","32216","2015-03-18 00:00:00","Standard Class","564","Neil Französisch","Home Office"
"1313","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","Office Supplies","Binders","Pressboard","16","CA-2015-100328","1313","1","0.2","1","0.34","4","CA-2015-100328","355","2015-01-28 00:00:00","New York City","New York","East","United States","10024","2015-02-03 00:00:00","Standard Class","355","Jasper Cacioppo","Consumer"
"326","Binder Clips by OIC","Office Supplies","Fasteners","OIC","17","CA-2015-100363","326","2","0.2","1","0.35","2","CA-2015-100363","376","2015-04-08 00:00:00","Glendale","Arizona","West","United States","85301","2015-04-15 00:00:00","Standard Class","376","Jim Mitchum","Corporate"
"1568","Things To Do Today Spiral Book","Office Supplies","Paper","Things To Do","18","CA-2015-100363","1568","3","0.2","7","0.36","19","CA-2015-100363","376","2015-04-08 00:00:00","Glendale","Arizona","West","United States","85301","2015-04-15 00:00:00","Standard Class","376","Jim Mitchum","Corporate"
"1523","Strathmore Photo Frame Cards","Office Supplies","Paper","Strathmore","19","CA-2015-100391","1523","2","0","7","0.46","15","CA-2015-100391","71","2015-05-25 00:00:00","New York City","New York","East","United States","10035","2015-05-29 00:00:00","Standard Class","71","Barry Weirich","Consumer"
"1306","Prang Dustless Chalk Sticks","Office Supplies","Art","Prang","20","CA-2015-100678","1306","2","0.2","1","0.38","3","CA-2015-100678","447","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","447","Kunst Miller","Consumer"
"396","Cameo Buff Policy Envelopes","Office Supplies","Envelopes","Other","21","CA-2015-100678","396","3","0.2","50","0.34","149","CA-2015-100678","447","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","447","Kunst Miller","Consumer"
"956","Kensington Expert Mouse Optical USB Trackball for PC or Mac","Technology","Accessories","Kensington","22","CA-2015-100678","956","3","0.2","28","0.13","228","CA-2015-100678","447","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","447","Kunst Miller","Consumer"
"529","DMI Arturo Collection Mission-style Design Wood Chair","Furniture","Chairs","DMI","23","CA-2015-100678","529","3","0.3","-18","-0.06","317","CA-2015-100678","447","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","447","Kunst Miller","Consumer"
"1595","Ultra Door Push Plate","Furniture","Furnishings","Ultra","24","CA-2015-100706","1595","6","0","10","0.33","29","CA-2015-100706","453","2015-12-16 00:00:00","Springfield","Virginia","South","United States","22153","2015-12-18 00:00:00","Second Class","453","Laurel Elliston","Consumer"
"421","Case Logic 2.4GHz Wireless Keyboard","Technology","Accessories","Other","25","CA-2015-100706","421","2","0","8","0.08","100","CA-2015-100706","453","2015-12-16 00:00:00","Springfield","Virginia","South","United States","22153","2015-12-18 00:00:00","Second Class","453","Laurel Elliston","Consumer"
"97","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","Office Supplies","Paper","Adams","26","CA-2015-100762","97","2","0","8","0.5","16","CA-2015-100762","556","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","556","Nat Gilpin","Corporate"
"1675","Xerox 1885","Office Supplies","Paper","Xerox","27","CA-2015-100762","1675","3","0","69","0.48","144","CA-2015-100762","556","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","556","Nat Gilpin","Corporate"
